# Norwegian municipality coordinates - Data source: Kartverket (Norwegian Mapping Authority)
# License: Norwegian License for Open Government Data (NLOD) 2.0
kommune,fylke,latitude,longitude
Vadsø,,70.1709,29.8736
Vaksdal,,60.6731,5.9043
Valle,,59.1646,7.4319
Vang,,61.2177,8.4749
Vanylven,,62.0948,5.6298
Vardø,,70.3137,31.0653
Vefsn,,65.8571,13.2154
Vega,,65.7268,11.4861
Vegårshei,,58.7588,8.8241
Vennesla,,58.3309,7.8292
Verdal,,63.7866,12.0069
Vestby,,59.5672,10.7258
Vestnes,,62.5825,7.0675
Vestre Slidre,,61.0325,8.8842
Vestre Toten,,60.6448,10.6227
Vestvågøy,,68.1921,13.6732
Vevelstad,,65.6457,12.6468
Vik,,61.0342,6.5502
Vindafjord,,59.5523,5.7863
Vinje,,59.8214,7.7288
Volda,,62.0635,6.2514
Voss,,60.6827,6.4714
Vågan,,68.2512,14.4360
Vågå,,61.6724,8.9515
Våler,Østfold,59.4585,10.9327
Våler,Innlandet,60.7847,11.9512
Værøy,,67.6459,12.7595
Åfjord,,64.0908,10.1900
Ål,,60.7118,8.3879
Ålesund,,62.7515,6.4260
Åmli,,58.8039,8.3393
Åmot,,61.2550,11.4994
Årdal,,61.2901,7.8059
Ås,,59.6787,10.7841
Åseral,,58.6996,7.3999
Åsnes,,60.6501,12.1674
Øksnes,,69.0171,14.8970
Ørland,,63.8201,9.6004
Ørsta,,62.2367,6.3315
Østre Toten,,60.6088,10.8903
Øvre Eiker,,59.7533,9.8482
Øyer,,61.3198,10.5360
Øygarden,,60.4135,4.7364
Øystre Slidre,,61.2443,9.0969
